file,energy/Ha,E(LUMO)/eV,E(HOMO)/eV,gap/eV,dipole moment magnitude (a.u.)
qm7_1027.xyz,-286.047011719998,0.2891,-7.1532,7.4423,1.25990
qm7_1028.xyz,-286.078309951400,-0.0918,-6.5614,6.4696,1.32729
qm7_1029.xyz,-287.211850367153,0.3357,-6.8125,7.1482,0.15663
qm7_103.xyz,-247.967841717436,0.3082,-6.8528,7.161,0.17274
qm7_1030.xyz,-287.224706585712,1.8109,-6.7577,8.5686,0.74459
qm7_1031.xyz,-286.019097359216,-0.6163,-7.0538,6.4375,1.26540
qm7_1032.xyz,-286.073456847682,1.1369,-6.9743,8.1112,1.45157
qm7_1033.xyz,-286.030041628519,-0.5728,-6.5612,5.9884,1.05647
qm7_1034.xyz,-287.233126646895,1.7992,-6.3225,8.1217,0.66441
qm7_1035.xyz,-287.232390911037,2.0883,-6.2545,8.3428,0.23717
qm7_1036.xyz,-287.223127884849,1.5801,-6.5058,8.0859,1.05844
qm7_1037.xyz,-232.910761173221,0.3958,-7.0704,7.4662,0.15162
qm7_1038.xyz,-287.221516470848,1.7273,-6.4417,8.169,0.84127
qm7_1039.xyz,-288.470662409109,1.56,-6.7094,8.2694,1.21378
qm7_104.xyz,-247.998016811903,1.8767,-6.6293,8.506,0.75125
qm7_1040.xyz,-286.065260957207,-0.1022,-6.6595,6.5573,1.00039
qm7_1041.xyz,-288.459832302335,1.5612,-6.5345,8.0957,1.03096
qm7_1042.xyz,-287.292407094634,1.0131,-6.7696,7.7827,1.44896
qm7_1043.xyz,-287.246469409539,-0.5892,-6.4726,5.8834,1.10793
qm7_1044.xyz,-286.051940261316,-0.4897,-6.2163,5.7266,2.63371
qm7_1045.xyz,-288.469045482331,1.4261,-6.727,8.1531,1.21480
qm7_1046.xyz,-287.257542923114,-0.5784,-6.3135,5.7351,0.68958
qm7_1047.xyz,-288.467454447000,1.7128,-6.3533,8.0661,0.49482
qm7_1048.xyz,-231.655283927687,0.9958,-7.2137,8.2095,0.31831
qm7_1049.xyz,-287.264375688512,-0.1813,-6.6285,6.4472,1.14023
qm7_105.xyz,-247.991385879652,1.5368,-6.8804,8.4172,1.17720
qm7_1050.xyz,-287.255129650626,-0.4273,-6.3531,5.9258,0.99177
qm7_1051.xyz,-288.451100146433,1.9607,-6.0918,8.0525,0.35579
qm7_1052.xyz,-286.069742659474,-0.8142,-7.2077,6.3935,1.36932
qm7_1053.xyz,-284.804913489396,-0.7667,-7.4142,6.6475,1.60567
qm7_1054.xyz,-285.967154063658,-0.037,-7.1625,7.1255,0.12244
qm7_1055.xyz,-284.709751509371,-0.2264,-7.3945,7.1681,0.10820
qm7_1056.xyz,-287.223699733475,1.945,-6.299,8.244,0.72368
qm7_1057.xyz,-287.219562970717,1.4984,-6.1961,7.6945,0.84711
qm7_1058.xyz,-287.216623619533,1.7395,-7.0172,8.7567,0.28531
qm7_1059.xyz,-235.392184803865,0.7258,-6.8781,7.6039,0.00288
qm7_106.xyz,-247.988361864198,1.6489,-6.8338,8.4827,0.79394
qm7_1060.xyz,-288.456613446275,1.9316,-6.4377,8.3693,0.40369
qm7_1061.xyz,-287.233651982831,1.0906,-6.2841,7.3747,0.13552
qm7_1062.xyz,-284.817012655954,-0.8775,-7.085,6.2075,2.22136
qm7_1063.xyz,-287.237081647170,1.0625,-6.4311,7.4936,0.54261
qm7_1064.xyz,-284.810280595279,-1.0117,-7.45,6.4383,1.87990
qm7_1065.xyz,-288.462630796205,1.8874,-6.4503,8.3377,0.24296
qm7_1066.xyz,-286.031271244982,0.5804,-8.0547,8.6351,1.84753
qm7_1067.xyz,-288.462394559594,1.7241,-6.5037,8.2278,0.35655
qm7_1068.xyz,-286.036847619207,0.9297,-7.8864,8.8161,1.48158
qm7_1069.xyz,-287.215372238362,0.5217,-6.6405,7.1622,0.28333
qm7_107.xyz,-249.229555110459,1.7258,-6.603,8.3288,0.50858
qm7_1070.xyz,-235.395967306923,0.8336,-6.5647,7.3983,0.11404
qm7_1071.xyz,-285.979060734790,-1.0025,-6.5911,5.5886,0.08273
qm7_1072.xyz,-284.718621455243,-1.1318,-6.9216,5.7898,0.23624
qm7_1073.xyz,-287.240948866870,1.8475,-6.7984,8.6459,0.95228
qm7_1074.xyz,-287.249118610620,1.6798,-6.6312,8.311,0.88557
qm7_1075.xyz,-284.855760023663,1.0961,-5.3825,6.4786,0.69417
qm7_1076.xyz,-284.848831739688,0.7735,-5.655,6.4285,0.74366
qm7_1077.xyz,-287.262530711927,1.5908,-6.8877,8.4785,0.94512
qm7_1078.xyz,-287.243860308053,1.5221,-6.72,8.2421,0.99324
qm7_1079.xyz,-287.245363292879,1.5337,-6.9273,8.461,1.21183
qm7_108.xyz,-246.820405151176,-0.521,-6.4477,5.9267,2.52665
qm7_1080.xyz,-286.037144199205,0.7773,-6.2041,6.9814,0.81968
qm7_1081.xyz,-234.166374219316,-0.5709,-6.4027,5.8318,0.24957
qm7_1082.xyz,-287.233103156829,1.7033,-6.6266,8.3299,0.65152
qm7_1083.xyz,-287.234911249741,1.673,-6.684,8.357,0.57514
qm7_1084.xyz,-284.806436607455,0.0493,-8.0638,8.1131,1.69391
qm7_1085.xyz,-287.230875324550,1.6162,-6.8651,8.4813,1.22283
qm7_1086.xyz,-284.807822091828,0.409,-7.8392,8.2482,1.01005
qm7_1087.xyz,-287.242037646722,1.5772,-6.5348,8.112,0.88490
qm7_1088.xyz,-287.229788631842,1.8328,-6.6678,8.5006,0.89508
qm7_1089.xyz,-284.808728767293,0.656,-8.3867,9.0427,0.84382
qm7_109.xyz,-246.835844040635,-0.8422,-7.2461,6.4039,1.40469
qm7_1090.xyz,-288.480815845353,1.4021,-6.6431,8.0452,1.43988
qm7_1091.xyz,-287.237245718981,0.2182,-6.7627,6.9809,0.79174
qm7_1092.xyz,-232.911054939119,-0.6309,-6.7408,6.1099,0.43769
qm7_1093.xyz,-287.240581623858,0.4654,-6.8318,7.2972,0.96958
qm7_1094.xyz,-285.980728092890,0.9114,-6.7339,7.6453,0.15310
qm7_1095.xyz,-287.243689262806,0.285,-7.1065,7.3915,1.17978
qm7_1096.xyz,-285.984237814627,0.7834,-7.0036,7.787,0.62659
qm7_1097.xyz,-287.244853293436,0.4612,-6.9166,7.3778,1.31389
qm7_1098.xyz,-285.988490954029,0.9964,-7.1134,8.1098,1.42050
qm7_1099.xyz,-287.237588987588,1.1263,-6.5714,7.6977,0.45684
qm7_11.xyz,-133.665352491912,1.7226,-6.9846,8.7072,0.66602
qm7_110.xyz,-245.574398667097,-0.7617,-7.665,6.9033,1.53373
qm7_1100.xyz,-286.079319766781,1.053,-7.1742,8.2272,1.42499
qm7_1101.xyz,-286.073308245496,0.4706,-7.0724,7.543,1.46621
qm7_1102.xyz,-284.823251189580,0.8267,-7.203,8.0297,1.30222
qm7_1103.xyz,-235.392107219883,0.7146,-6.9459,7.6605,0.23627
qm7_1104.xyz,-235.421871928400,1.6738,-8.621,10.2948,0.03150
qm7_1105.xyz,-284.819592555394,0.7902,-7.8693,8.6595,1.27475
qm7_1106.xyz,-286.105981893092,1.114,-6.9336,8.0476,1.53013
qm7_1107.xyz,-283.622846520048,-3.2572,-7.8642,4.607,1.68932
qm7_1108.xyz,-284.879496156735,-0.0716,-6.3246,6.253,1.26850
qm7_1109.xyz,-284.867191922510,1.6664,-5.3763,7.0427,0.46365
qm7_111.xyz,-246.834956433407,1.1344,-7.279,8.4134,1.48025
qm7_1110.xyz,-287.263676326983,1.536,-5.9404,7.4764,0.87811
qm7_1111.xyz,-286.067436032292,-0.375,-6.6246,6.2496,1.16920
qm7_1112.xyz,-283.609142403222,-3.4037,-7.5415,4.1378,0.53213
qm7_1113.xyz,-284.861921940302,1.3385,-5.5801,6.9186,1.14293
qm7_1114.xyz,-284.878720721124,-0.7699,-7.1176,6.3477,1.72285
qm7_1115.xyz,-234.164232777038,-0.6925,-6.6102,5.9177,0.10277
qm7_1116.xyz,-287.234793989238,1.7648,-6.3308,8.0956,0.27263
qm7_1117.xyz,-286.026972004997,-0.6297,-6.7363,6.1066,1.19232
qm7_1118.xyz,-287.232078840857,1.7969,-6.2099,8.0068,0.31382
qm7_1119.xyz,-286.024511227498,-0.5095,-6.5578,6.0483,1.36989
qm7_112.xyz,-247.991585823135,1.4759,-6.0609,7.5368,1.03198
qm7_1120.xyz,-287.230458870594,1.6931,-6.8447,8.5378,0.83257
qm7_1121.xyz,-286.024183903292,-0.4584,-7.0906,6.6322,0.48584
qm7_1122.xyz,-282.339300959603,-3.3194,-9.1377,5.8183,1.48062
qm7_1123.xyz,-283.612376562898,-3.1002,-8.1703,5.0701,0.84044
qm7_1124.xyz,-282.350222277120,-3.3197,-8.8027,5.483,0.97508
qm7_1125.xyz,-284.843664534783,-1.0604,-7.9954,6.935,1.17543
qm7_1126.xyz,-232.909977528915,-0.645,-6.9024,6.2574,0.19088
qm7_1127.xyz,-284.808832648271,-0.3796,-8.1504,7.7708,1.18393
qm7_1128.xyz,-283.546353205029,-0.5403,-8.4802,7.9399,1.14050
qm7_1129.xyz,-284.816720996990,-1.4416,-7.8729,6.4313,2.15288
qm7_113.xyz,-193.660885858579,0.2287,-7.5096,7.7383,0.21476
qm7_1130.xyz,-284.817771547592,-1.5223,-8.2466,6.7243,1.19872
qm7_1131.xyz,-283.562783081335,-1.442,-8.1533,6.7113,2.31126
qm7_1132.xyz,-286.052041318179,0.9866,-8.0446,9.0312,1.31811
qm7_1133.xyz,-287.220503910503,1.8226,-6.6715,8.4941,0.45147
qm7_1134.xyz,-286.012244708701,-0.6008,-7.1314,6.5306,1.07075
qm7_1135.xyz,-286.057294496103,0.7074,-6.9093,7.6167,1.67260
qm7_1136.xyz,-286.059357401478,0.7552,-7.1819,7.9371,1.55056
qm7_1137.xyz,-235.395456314491,0.8876,-6.5422,7.4298,0.07891
qm7_1138.xyz,-284.804143873347,0.5776,-7.4191,7.9967,1.35182
qm7_1139.xyz,-284.805112636690,0.8721,-6.2214,7.0935,0.76926
qm7_114.xyz,-246.794246097144,-0.6346,-6.8956,6.261,1.05765
qm7_1140.xyz,-285.985758515490,0.2251,-6.8435,7.0686,0.17896
qm7_1141.xyz,-285.984185257489,-0.1648,-7.2159,7.0511,0.05865
qm7_1142.xyz,-284.730323244654,-0.012,-7.4135,7.4015,0.19323
qm7_1143.xyz,-591.694081376337,-0.1719,-6.4981,6.3262,0.25475
qm7_1144.xyz,-607.703013936420,-0.7127,-7.4209,6.7082,1.18513
qm7_1145.xyz,-591.693518283106,-0.1214,-6.64,6.5186,0.34493
qm7_1146.xyz,-607.704811025149,-0.6595,-7.2314,6.5719,0.92834
qm7_1147.xyz,-607.711107795043,-0.6161,-6.9973,6.3812,0.79674
qm7_1148.xyz,-235.389413171562,0.5748,-7.3206,7.8954,0.12249
qm7_1149.xyz,-607.701575622791,-0.6927,-7.1959,6.5032,1.10581
qm7_115.xyz,-247.988894941451,1.7615,-6.9998,8.7613,0.28781
qm7_1150.xyz,-607.712774599308,-0.5801,-6.9659,6.3858,0.48120
qm7_1151.xyz,-607.714027726196,-0.5785,-6.9521,6.3736,0.47134
qm7_1152.xyz,-666.950765762022,1.2222,-8.0154,9.2376,1.79787
qm7_1153.xyz,-665.709300036679,-1.107,-8.162,7.055,1.75332
qm7_1154.xyz,-664.438676524607,-0.729,-8.499,7.77,1.74160
qm7_1155.xyz,-607.704106487044,0.2921,-5.5604,5.8525,0.73856
qm7_1156.xyz,-234.136354302357,1.3261,-7.5152,8.8413,0.30985
qm7_1157.xyz,-607.705796059360,0.049,-5.6608,5.7098,0.77405
qm7_1158.xyz,-627.533818837289,0.1383,-6.0807,6.219,0.71961
qm7_1159.xyz,-627.537579816500,-0.1514,-6.2531,6.1017,0.40384
qm7_116.xyz,-246.784729013647,-0.616,-7.2269,6.6109,1.28122
qm7_1160.xyz,-665.724328883951,1.1276,-8.1295,9.2571,1.86962
qm7_1161.xyz,-234.145633931604,1.3828,-6.9649,8.3477,0.05188
qm7_1162.xyz,-232.915705105395,-0.564,-6.6252,6.0612,0.26318
qm7_1163.xyz,-231.667419438170,-0.4256,-7.0453,6.6197,0.52312
qm7_1164.xyz,-235.392899751242,0.8268,-6.8387,7.6655,0.03262
qm7_1165.xyz,-235.392945790460,0.6951,-6.9403,7.6354,0.23691
qm7_1166.xyz,-235.394979018950,1.6689,-8.195,9.8639,0.02479
qm7_1167.xyz,-288.213302559083,-0.2535,-8.0558,7.8023,1.51573
qm7_1168.xyz,-291.865990731763,1.8502,-6.5339,8.3841,0.47842
qm7_1169.xyz,-290.638983417994,0.6908,-6.4443,7.1351,0.57034
qm7_117.xyz,-246.797064077751,0.0631,-7.4009,7.464,1.32171
qm7_1170.xyz,-288.228318717455,-1.0865,-7.5166,6.4301,1.88812
qm7_1171.xyz,-291.869585383388,1.5761,-6.5835,8.1596,0.51221
qm7_1172.xyz,-289.449071260530,1.1155,-8.9587,10.0742,1.59441
qm7_1173.xyz,-291.870595182407,1.5184,-6.6182,8.1366,0.49627
qm7_1174.xyz,-289.451117037781,0.8455,-9.019,9.8645,1.50587
qm7_1175.xyz,-286.955433882026,0.294,-8.2892,8.5832,1.53410
qm7_1176.xyz,-291.867242106546,1.6626,-6.5448,8.2074,0.52851
qm7_1177.xyz,-273.434305864811,0.6785,-6.8223,7.5008,0.08058
qm7_1178.xyz,-289.450861328994,0.8586,-9.0118,9.8704,1.51074
qm7_1179.xyz,-289.391007355193,1.4894,-6.6938,8.1832,0.55649
qm7_118.xyz,-246.752125435153,-0.9595,-6.7534,5.7939,0.02032
qm7_1180.xyz,-289.390143802047,1.2671,-6.6744,7.9415,0.47474
qm7_1181.xyz,-286.964960716146,0.5063,-7.7161,8.2224,1.54675
qm7_1182.xyz,-290.636997424029,0.6511,-6.5582,7.2093,0.48952
qm7_1183.xyz,-288.220914881264,-1.2435,-7.8183,6.5748,1.88887
qm7_1184.xyz,-290.638627414127,0.6282,-6.7634,7.3916,0.52270
qm7_1185.xyz,-288.219486727999,-1.2501,-7.9268,6.6767,1.50399
qm7_1186.xyz,-291.868016807097,1.5792,-6.5803,8.1595,0.54385
qm7_1187.xyz,-291.874046083130,1.4472,-6.6143,8.0615,0.47585
qm7_1188.xyz,-272.212210168534,-0.4352,-6.2078,5.7726,0.28986
qm7_1189.xyz,-289.450092299013,0.8679,-9.0349,9.9028,1.52144
qm7_119.xyz,-245.491720084413,-1.1073,-7.1209,6.0136,0.14842
qm7_1190.xyz,-289.386887954604,1.1613,-6.603,7.7643,0.53852
qm7_1191.xyz,-286.972215119280,-1.0428,-8.1799,7.1371,2.14256
qm7_1192.xyz,-291.871559813133,1.6571,-6.6062,8.2633,0.52277
qm7_1193.xyz,-289.448996627090,0.9609,-9.0843,10.0452,1.64198
qm7_1194.xyz,-291.859204902754,1.9073,-6.1325,8.0398,0.32036
qm7_1195.xyz,-290.629420971669,0.612,-6.1853,6.7973,0.33855
qm7_1196.xyz,-290.631235053640,0.6418,-6.2799,6.9217,0.27929
qm7_1197.xyz,-291.860443388658,1.5753,-6.1506,7.7259,0.34712
qm7_1198.xyz,-291.863395705419,1.5572,-6.0684,7.6256,0.32461
qm7_1199.xyz,-273.439397445619,0.8399,-6.4995,7.3394,0.11728
qm7_12.xyz,-134.909757012745,1.8154,-6.5343,8.3497,0.50829
qm7_120.xyz,-552.449814795086,-0.2823,-6.8578,6.5755,0.18324
qm7_1200.xyz,-291.861490992623,1.6519,-6.1559,7.8078,0.36244
qm7_1201.xyz,-289.379487867330,1.2214,-6.2793,7.5007,0.37307
qm7_1202.xyz,-291.861190439307,1.8129,-6.1451,7.958,0.34977
qm7_1203.xyz,-305.424121856305,-0.2877,-5.7028,5.4151,0.65826
qm7_1204.xyz,-305.462058680136,-0.3293,-6.5479,6.2186,1.13492
qm7_1205.xyz,-305.424959519888,-0.2432,-5.655,5.4118,0.81314
qm7_1206.xyz,-305.411240408941,0.2377,-6.2491,6.4868,0.74374
qm7_1207.xyz,-305.458304893073,0.2303,-6.5285,6.7588,1.24895
qm7_1208.xyz,-305.418012140558,-0.3293,-5.724,5.3947,0.94496
qm7_1209.xyz,-305.412395267387,0.2134,-6.3278,6.5412,0.73465
qm7_121.xyz,-568.457656448021,-0.8765,-7.5921,6.7156,0.95739
qm7_1210.xyz,-273.434235013360,0.4836,-6.8056,7.2892,0.22196
qm7_1211.xyz,-305.459891611116,0.1464,-6.5786,6.725,0.98483
qm7_1212.xyz,-305.406876971269,0.1165,-6.3178,6.4343,0.76212
qm7_1213.xyz,-305.454252739311,0.0165,-6.5822,6.5987,1.01612
qm7_1214.xyz,-305.423588670779,-0.3445,-5.5909,5.2464,0.76951
qm7_1215.xyz,-305.462291060535,-0.3436,-6.4825,6.1389,1.22358
qm7_1216.xyz,-306.643590438671,0.6649,-6.2608,6.9257,0.69576
qm7_1217.xyz,-306.685361035673,1.3611,-6.4277,7.7888,1.09057
qm7_1218.xyz,-306.647517538527,0.8454,-6.0655,6.9109,0.73521
qm7_1219.xyz,-306.642238923009,0.6168,-6.2273,6.8441,0.70622
qm7_122.xyz,-568.465986552965,-0.7588,-7.3377,6.5789,0.60519
qm7_1220.xyz,-306.687656438012,1.2337,-6.5305,7.7642,1.13875
qm7_1221.xyz,-271.048409546300,-0.0686,-6.9034,6.8348,0.16460
qm7_1222.xyz,-304.200275716097,0.7748,-6.7271,7.5019,0.88507
qm7_1223.xyz,-305.412259508851,0.2197,-6.1805,6.4002,0.71837
qm7_1224.xyz,-304.161299772805,0.4817,-6.2266,6.7083,0.51948
qm7_1225.xyz,-304.172833340759,-0.1747,-5.8209,5.6462,0.75489
qm7_1226.xyz,-304.163320201801,0.4775,-6.3429,6.8204,0.72003
qm7_1227.xyz,-304.210697431674,1.0208,-6.5814,7.6022,1.23910
qm7_1228.xyz,-305.419526665709,-0.4137,-5.7581,5.3444,0.71870
qm7_1229.xyz,-305.458800314494,-0.5844,-6.6189,6.0345,1.21045
qm7_123.xyz,-192.404825074492,0.7647,-7.6538,8.4185,0.21458
qm7_1230.xyz,-305.419991706919,-0.5252,-5.9501,5.4249,0.81374
qm7_1231.xyz,-305.458209395662,-0.5359,-6.6881,6.1522,0.96567
qm7_1232.xyz,-273.441923630543,0.5969,-6.9136,7.5105,0.25290
qm7_1233.xyz,-305.415106796368,-0.8722,-5.974,5.1018,0.71315
qm7_1234.xyz,-306.641695503411,0.6172,-6.2475,6.8647,0.67533
qm7_1235.xyz,-306.687039147430,1.3337,-6.491,7.8247,1.07184
qm7_1236.xyz,-306.644698526795,0.6666,-6.0522,6.7188,0.77670
qm7_1237.xyz,-304.166091807595,-0.3626,-5.9304,5.5678,0.66041
qm7_1238.xyz,-304.207703132240,-0.1954,-6.6246,6.4292,1.30147
qm7_1239.xyz,-306.646813510757,0.8479,-6.0485,6.8964,0.75113
qm7_124.xyz,-196.156025645491,0.7634,-6.5033,7.2667,0.12577
qm7_1240.xyz,-306.640503321592,0.6049,-6.2347,6.8396,0.70095
qm7_1241.xyz,-306.684972527746,1.2997,-6.4799,7.7796,1.17501
qm7_1242.xyz,-290.620718527078,1.8749,-6.5855,8.4604,0.42842
qm7_1243.xyz,-270.998002394346,-0.7258,-6.0333,5.3075,0.38644
qm7_1244.xyz,-289.386640026981,0.5145,-6.6814,7.1959,0.40464
qm7_1245.xyz,-288.135425726378,1.3625,-6.8383,8.2008,0.49036
qm7_1246.xyz,-289.390611957665,0.6559,-6.6106,7.2665,0.46416
qm7_1247.xyz,-289.392258703852,0.5891,-6.7089,7.298,0.33659
qm7_1248.xyz,-289.389687161255,0.451,-6.7063,7.1573,0.40907
qm7_1249.xyz,-290.623098329218,1.804,-6.6085,8.4125,0.43791
qm7_125.xyz,-194.927814863172,-0.5416,-6.3934,5.8518,0.27120
qm7_1250.xyz,-290.623932842140,1.698,-6.4116,8.1096,0.43923
qm7_1251.xyz,-288.133629974984,1.1102,-6.8463,7.9565,0.52548
qm7_1252.xyz,-288.140785802050,1.2519,-6.6782,7.9301,0.45059
qm7_1253.xyz,-290.624592981933,1.8351,-6.5981,8.4332,0.41287
qm7_1254.xyz,-270.991813706579,-1.275,-5.7169,4.4419,0.22108
qm7_1255.xyz,-291.862037619774,1.8301,-6.1499,7.98,0.30721
qm7_1256.xyz,-285.730983281221,-1.282,-7.4979,6.2159,1.47976
qm7_1257.xyz,-289.411104308345,-0.5374,-6.2571,5.7197,0.21053
qm7_1258.xyz,-288.156016011912,-0.3768,-6.4979,6.1211,0.87257
qm7_1259.xyz,-289.407043619446,0.4651,-6.7592,7.2243,0.53284
qm7_126.xyz,-193.672499435663,-0.6012,-6.7298,6.1286,0.43764
qm7_1260.xyz,-288.150451752346,0.4396,-6.9699,7.4095,0.70546
qm7_1261.xyz,-290.624693647935,0.6477,-5.9593,6.607,0.18600
qm7_1262.xyz,-289.406207277804,-0.0037,-6.7487,6.745,0.38611
qm7_1263.xyz,-288.151320068993,0.1948,-6.8647,7.0595,0.59642
qm7_1264.xyz,-285.740879795870,-2.1816,-7.4396,5.258,1.56624
qm7_1265.xyz,-270.990525559432,-1.1423,-5.9673,4.825,0.00143
qm7_1266.xyz,-288.157369195546,-0.4671,-6.5024,6.0353,0.77493
qm7_1267.xyz,-290.619093543479,0.4537,-6.0177,6.4714,0.18315
qm7_1268.xyz,-290.635755733660,0.6473,-6.6573,7.3046,0.54557
qm7_1269.xyz,-289.385577321919,1.4297,-6.6448,8.0745,0.48486
qm7_127.xyz,-194.926712011081,-0.6561,-6.6357,5.9796,0.10927
qm7_1270.xyz,-290.637404514358,0.6002,-6.6331,7.2333,0.60293
qm7_1271.xyz,-289.382599069725,1.0408,-6.8013,7.8421,0.66986
qm7_1272.xyz,-291.855441127004,1.6706,-5.958,7.6286,0.19198
qm7_1273.xyz,-289.363815207376,1.2484,-6.1714,7.4198,0.29934
qm7_1274.xyz,-288.215799861769,-0.012,-7.8745,7.8625,1.48300
qm7_1275.xyz,-286.960779556684,0.7625,-7.9998,8.7623,1.60291
qm7_1276.xyz,-272.204342731166,0.4535,-6.7611,7.2146,0.19237
qm7_1277.xyz,-273.428301724623,1.6915,-7.5073,9.1988,0.07555
qm7_1278.xyz,-290.634204019887,0.5752,-6.5424,7.1176,0.49589
qm7_1279.xyz,-289.381133023053,1.3322,-6.5581,7.8903,0.28277
qm7_128.xyz,-196.179815820435,1.6841,-8.6503,10.3344,0.00285
qm7_1280.xyz,-288.155820466797,0.2475,-6.7498,6.9973,0.69892
qm7_1281.xyz,-286.899230417677,0.6317,-6.9607,7.5924,0.81920
qm7_1282.xyz,-289.375345877542,1.2629,-6.0587,7.3216,0.17316
qm7_1283.xyz,-291.872320877034,1.5384,-6.5589,8.0973,0.46001
qm7_1284.xyz,-290.640374387794,0.6383,-6.6892,7.3275,0.53734
qm7_1285.xyz,-289.383085808345,1.2144,-6.8307,8.0451,0.64073
qm7_1286.xyz,-291.854632197003,1.6166,-5.7703,7.3869,0.20390
qm7_1287.xyz,-290.640126713426,0.804,-6.5543,7.3583,0.57302
qm7_1288.xyz,-272.202654972676,0.0402,-6.8219,6.8621,0.08907
qm7_1289.xyz,-290.635015785463,0.5662,-6.6412,7.2074,0.53982
qm7_129.xyz,-193.668132602824,-0.7114,-6.8269,6.1155,0.23693
qm7_1290.xyz,-289.383700705490,1.3719,-6.8097,8.1816,0.60755
qm7_1291.xyz,-291.871802380667,1.6472,-6.5923,8.2395,0.50925
qm7_1292.xyz,-290.634007564415,0.5292,-6.6223,7.1515,0.55113
qm7_1293.xyz,-289.381200605154,1.0471,-6.8173,7.8644,0.64996
qm7_1294.xyz,-291.852449443923,1.7883,-5.9327,7.721,0.15394
qm7_1295.xyz,-301.797087806972,-1.9611,-8.6809,6.7198,2.16010
qm7_1296.xyz,-304.224765892142,-0.8109,-5.9045,5.0936,0.89967
qm7_1297.xyz,-304.219815227365,-1.0991,-6.3709,5.2718,1.20872
qm7_1298.xyz,-301.783442079311,-0.8626,-8.7666,7.904,1.59276
qm7_1299.xyz,-272.218803584624,-0.4749,-6.298,5.8231,0.30382
qm7_13.xyz,-132.492757640557,1.1007,-9.3525,10.4532,1.50882
qm7_130.xyz,-196.149729709608,0.6085,-7.314,7.9225,0.13497
qm7_1300.xyz,-305.439215530648,-0.0463,-6.4961,6.4498,1.52450
qm7_1301.xyz,-300.518360484434,-0.4985,-9.1398,8.6413,1.54614
qm7_1302.xyz,-305.452089349271,0.2944,-5.8216,6.116,1.18083
qm7_1303.xyz,-301.803300321648,-2.4735,-8.4152,5.9417,2.06153
qm7_1304.xyz,-306.647206781615,0.7557,-6.4516,7.2073,0.29967
qm7_1305.xyz,-306.649023058428,0.8573,-6.3593,7.2166,0.22426
qm7_1306.xyz,-305.440997269882,0.2278,-6.3947,6.6225,1.61641
qm7_1307.xyz,-306.648724700156,0.5319,-6.4366,6.9685,0.84454
qm7_1308.xyz,-305.442146527667,0.1459,-6.5229,6.6688,1.27524
qm7_1309.xyz,-301.807753262973,-2.7594,-8.4524,5.693,0.42893
